system,tot_energy
Rh_N_din6_as_c0,-627
Ru_N_din6_as_c0,-627.925
Zn_N_din6_as_c0,-622.624
Ag_N_din6_as_c1_1,-621.131
Au_N_din6_as_c1_1,-621.631
Cd_N_din6_as_c1_1,-620.55
Co_N_din6_as_c1_1,-626.707
Cu_N_din6_as_c1_1,-623.257
Fe_N_din6_as_c1_1,-628.002
Ir_N_din6_as_c1_1,-627.713
Ni_N_din6_as_c1_1,-625.614
Os_N_din6_as_c1_1,-628.711
Pd_N_din6_as_c1_1,-624.162
Pt_N_din6_as_c1_1,-625.113
Rh_N_din6_as_c1_1,-626.728
Ru_N_din6_as_c1_1,-627.533
Zn_N_din6_as_c1_1,-621.809
Ag_N_din6_as_c1_2,-621.444
Au_N_din6_as_c1_2,-622.156
Cd_N_din6_as_c1_2,-621.024
Co_N_din6_as_c1_2,-625.885
Cu_N_din6_as_c1_2,-623.087
Fe_N_din6_as_c1_2,-627.739
Ir_N_din6_as_c1_2,-627.673
Ni_N_din6_as_c1_2,-624.566
Os_N_din6_as_c1_2,-628.869
Pd_N_din6_as_c1_2,-624.083
Pt_N_din6_as_c1_2,-626.016
Rh_N_din6_as_c1_2,-626.487
Ru_N_din6_as_c1_2,-627.479
Zn_N_din6_as_c1_2,-622.209
Ag_N_din6_as_c1_3,-621.083
Au_N_din6_as_c1_3,-621.371
Cd_N_din6_as_c1_3,-620.565
Co_N_din6_as_c1_3,-626.251
Cu_N_din6_as_c1_3,-622.766
Fe_N_din6_as_c1_3,-627.561
Ir_N_din6_as_c1_3,-625.463
Ni_N_din6_as_c1_3,-624.17
Os_N_din6_as_c1_3,-628.046
Pd_N_din6_as_c1_3,-623.288
Pt_N_din6_as_c1_3,-623.777
Rh_N_din6_as_c1_3,-626.186
Ru_N_din6_as_c1_3,-627.086
Zn_N_din6_as_c1_3,-621.758
Ag_N_din6_as_c2_12,-620.73
Au_N_din6_as_c2_12,-621.709
Cd_N_din6_as_c2_12,-619.98
Co_N_din6_as_c2_12,-626.021
Cu_N_din6_as_c2_12,-622.344
Fe_N_din6_as_c2_12,-627.631
Ir_N_din6_as_c2_12,-627.313
Ni_N_din6_as_c2_12,-625.056
Os_N_din6_as_c2_12,-629.197
Pd_N_din6_as_c2_12,-624.137
Pt_N_din6_as_c2_12,-625.275
Rh_N_din6_as_c2_12,-626.059
