System,Metal,Hetatom,Cavity,Base_Cavity,y,Pred_00000,Train_00000,sac_cavity
Ir_N_rol2_din2_b,Ir,N,rol2_din2_b,rol2_din2,-2.86591625000004,-2.79277505651754,False,N_rol2_din2_b
Ir_N_rol2_din2,Ir,N,rol2_din2,rol2_din2,-1.92091624999999,-2.24807354581227,False,N_rol2_din2
Ir_C_din4_c4,Ir,C,din4_c4,din4,0.839083749999997,-0.631860782810263,False,C_din4_c4
Ir_N_din4_c2_s2,Ir,N,din4_c2_s2,din4,-1.48691625000003,-1.88752470527641,False,N_din4_c2_s2
Ir_N_rol3,Ir,N,rol3,rol3,0.93508375,-0.106376378046199,False,N_rol3
Ir_N_rol3_c1,Ir,N,rol3_c1,rol3,-0.583916250000005,-0.876966812325141,False,N_rol3_c1
Ir_N_rol3_c2,Ir,N,rol3_c2,rol3,-2.35391624999999,-2.14967160834426,False,N_rol3_c2
Ir_N_din4_c2_d1,Ir,N,din4_c2_d1,din4,-1.55691625000008,-1.86586871699621,False,N_din4_c2_d1
Ir_N_din4_c2_s1,Ir,N,din4_c2_s1,din4,-0.722916250000015,-1.68904193709529,False,N_din4_c2_s1
Ir_N_rol2_din2_a,Ir,N,rol2_din2_a,rol2_din2,-2.91091625,-2.83293630256687,False,N_rol2_din2_a
Ir_N_rol2_din2_c2_s1,Ir,N,rol2_din2_c2_s1,rol2_din2,-3.89691625000011,-3.87857947479439,False,N_rol2_din2_c2_s1
Ir_C_rol1_din2_c3,Ir,C,rol1_din2_c3,rol1_din2,-1.33791625000002,-1.09484317003427,False,C_rol1_din2_c3
Ir_N_rol2_din2_c3_a,Ir,N,rol2_din2_c3_a,rol2_din2,-4.53591625,-4.61526349162641,False,N_rol2_din2_c3_a
Ir_C_rol2_din2_c4,Ir,C,rol2_din2_c4,rol2_din2,-4.63791624999998,-4.68899027600829,False,C_rol2_din2_c4
Ir_N_rol2_din2_c2_s2,Ir,N,rol2_din2_c2_s2,rol2_din2,-3.73191624999992,-3.76677124800088,False,N_rol2_din2_c2_s2
Ir_N_din3_c1,Ir,N,din3_c1,din3,1.87508375000006,1.21881201715358,False,N_din3_c1
Ir_N_rol2_din2_c3_b,Ir,N,rol2_din2_c3_b,rol2_din2,-4.17991625000001,-4.4816566092668,False,N_rol2_din2_c3_b
Ir_N_din4_c1,Ir,N,din4_c1,din4,-1.00191625000001,-1.60482734817864,False,N_din4_c1
Ir_N_din4_c2_d2,Ir,N,din4_c2_d2,din4,-1.55691625000008,-1.85363957544545,False,N_din4_c2_d2
Ir_N_rol2_din2_c2_s3,Ir,N,rol2_din2_c2_s3,rol2_din2,-0.507916249999983,-1.22902828749696,False,N_rol2_din2_c2_s3
Ir_C_rol3_c3,Ir,C,rol3_c3,rol3,-3.70291625000003,-3.30462807837624,False,C_rol3_c3
Ir_N_rol2_din2_c2_d1,Ir,N,rol2_din2_c2_d1,rol2_din2,-3.20891625,-3.56804821768572,False,N_rol2_din2_c2_d1
Ir_N_rol1_din2_c2_s1,Ir,N,rol1_din2_c2_s1,rol1_din2,0.798083750000057,0.869273704773527,False,N_rol1_din2_c2_s1
Ir_N_rol1_din2_c1_a,Ir,N,rol1_din2_c1_a,rol1_din2,1.87508375000006,1.14032656808789,False,N_rol1_din2_c1_a
Ir_N_din4_c3,Ir,N,din4_c3,din4,-0.386916250000002,-1.78324903530779,False,N_din4_c3
Ir_N_rol1_din2_c2_s2,Ir,N,rol1_din2_c2_s2,rol1_din2,0.803083750000052,0.872338983680614,False,N_rol1_din2_c2_s2
Ni_N_din3,Ni,N,din3,din3,0.614788749999981,0.430929319502295,False,N_din3
Ni_N_rol1_din2,Ni,N,rol1_din2,rol1_din2,1.29478874999993,0.560602537496491,False,N_rol1_din2
Ni_N_din4,Ni,N,din4,din4,-2.58121124999993,-1.89024455174647,False,N_din4
Ni_C_rol2_din2_c4,Ni,C,rol2_din2_c4,rol2_din2,-4.64421125000003,-4.50499901165631,False,C_rol2_din2_c4
Ni_N_din4_c2_s1,Ni,N,din4_c2_s1,din4,-2.88721124999997,-2.08026174042224,False,N_din4_c2_s1
Ni_N_rol1_din2_c1_b,Ni,N,rol1_din2_c1_b,rol1_din2,1.04378874999995,0.405237167440492,False,N_rol1_din2_c1_b
Ni_N_din3_c1,Ni,N,din3_c1,din3,-0.036211249999973,-0.036790881543106,False,N_din3_c1
